Time,Position_X,Position_Y,Position_Z,Orientation_X,Orientation_Y,Orientation_Z,Orientation_W
1.74303e+09,0.793765,0.150015,0,0,0,4.14176e-05,1
1.74303e+09,0.793765,0.150015,0,0,0,4.14176e-05,1
1.74303e+09,0.793765,0.150015,0,0,0,4.14176e-05,1
1.74303e+09,0.793765,0.150015,0,0,0,4.14176e-05,1
1.74303e+09,0.79375,0.15,0,0,0,0,1
1.74303e+09,0.793765,0.150015,0,0,0,4.14176e-05,1
1.74303e+09,0.793765,0.150015,0,0,0,4.14176e-05,1
1.74303e+09,0.793765,0.150015,0,0,0,4.14176e-05,1
1.74303e+09,0.793765,0.150015,0,0,0,4.14176e-05,1
1.74303e+09,0.793765,0.150015,0,0,0,4.14176e-05,1
1.74303e+09,0.793765,0.150015,0,0,0,4.14176e-05,1
1.74303e+09,0.793765,0.150015,0,0,0,4.14176e-05,1
1.74303e+09,0.793765,0.150015,0,0,0,4.14176e-05,1
1.74303e+09,0.793765,0.150015,0,0,0,4.14176e-05,1
1.74303e+09,0.793765,0.150015,0,0,0,4.14176e-05,1
1.74303e+09,0.793765,0.150015,0,0,0,4.14176e-05,1
1.74303e+09,0.793765,0.150015,0,0,0,4.14176e-05,1
1.74303e+09,0.793765,0.150015,0,0,0,4.14176e-05,1
1.74303e+09,0.793765,0.150015,0,0,0,4.14176e-05,1
1.74303e+09,0.793765,0.150015,0,0,0,4.14176e-05,1
1.74303e+09,0.793765,0.150015,0,0,0,4.14176e-05,1
1.74303e+09,0.793765,0.150015,0,0,0,4.14176e-05,1
1.74303e+09,0.793765,0.150015,0,0,0,4.14176e-05,1
1.74303e+09,0.793765,0.150015,0,0,0,4.14176e-05,1
1.74303e+09,0.793765,0.150015,0,0,0,4.14176e-05,1
1.74303e+09,0.793765,0.150015,0,0,0,4.14176e-05,1
1.74303e+09,0.793765,0.150015,0,0,0,4.14176e-05,1
1.74303e+09,0.793765,0.150015,0,0,0,4.14176e-05,1
1.74303e+09,0.793765,0.150015,0,0,0,4.14176e-05,1
1.74303e+09,0.793765,0.150015,0,0,0,4.14176e-05,1
1.74303e+09,0.793765,0.150015,0,0,0,4.14176e-05,1
1.74303e+09,0.793765,0.150015,0,0,0,4.14176e-05,1
1.74303e+09,0.793765,0.150015,0,0,0,4.14176e-05,1
1.74303e+09,0.793765,0.150015,0,0,0,4.14176e-05,1
1.74303e+09,0.793765,0.150015,0,0,0,4.14176e-05,1
1.74303e+09,0.793765,0.150015,0,0,0,4.14176e-05,1
1.74303e+09,0.793765,0.150015,0,0,0,4.14176e-05,1
1.74303e+09,0.793765,0.150015,0,0,0,4.14176e-05,1
1.74303e+09,0.793765,0.150015,0,0,0,4.14176e-05,1
1.74303e+09,0.793765,0.150015,0,0,0,4.14176e-05,1
1.74303e+09,0.793765,0.150015,0,0,0,4.14176e-05,1
1.74303e+09,0.793765,0.150015,0,0,0,4.14176e-05,1
1.74303e+09,0.793765,0.150015,0,0,0,4.14176e-05,1
1.74303e+09,0.793765,0.150015,0,0,0,4.14176e-05,1
1.74303e+09,0.793765,0.150015,0,0,0,4.14176e-05,1
1.74303e+09,0.793765,0.150015,0,0,0,4.14176e-05,1
1.74303e+09,0.793765,0.150015,0,0,0,4.14176e-05,1
1.74303e+09,0.793765,0.150015,0,0,0,4.14176e-05,1
1.74303e+09,0.793765,0.150015,0,0,0,4.14176e-05,1
1.74303e+09,0.793765,0.150015,0,0,0,4.14176e-05,1
1.74303e+09,0.793765,0.150015,0,0,0,4.14176e-05,1
1.74303e+09,0.793765,0.150015,0,0,0,4.14176e-05,1
1.74303e+09,0.793765,0.150015,0,0,0,4.14176e-05,1
1.74303e+09,0.793765,0.150015,0,0,0,4.14176e-05,1
1.74303e+09,0.793765,0.150015,0,0,0,4.14176e-05,1
1.74303e+09,0.793765,0.150015,0,0,0,4.14176e-05,1
1.74303e+09,0.793765,0.150015,0,0,0,4.14176e-05,1
1.74303e+09,0.793765,0.150015,0,0,0,4.14176e-05,1
1.74303e+09,0.793765,0.150015,0,0,0,4.14176e-05,1
1.74303e+09,0.793765,0.150015,0,0,0,4.14176e-05,1
1.74303e+09,0.793765,0.150015,0,0,0,4.14176e-05,1
1.74303e+09,0.793765,0.150015,0,0,0,4.14176e-05,1
1.74303e+09,0.793765,0.150015,0,0,0,4.14176e-05,1
1.74303e+09,0.793765,0.150015,0,0,0,4.14176e-05,1
1.74303e+09,0.793765,0.150015,0,0,0,4.14176e-05,1
1.74303e+09,0.793765,0.150015,0,0,0,4.14176e-05,1
1.74303e+09,0.793765,0.150015,0,0,0,4.14176e-05,1
1.74303e+09,0.793765,0.150015,0,0,0,4.14176e-05,1
1.74303e+09,0.793765,0.150015,0,0,0,4.14176e-05,1
1.74303e+09,0.793765,0.150015,0,0,0,4.14176e-05,1
1.74303e+09,0.793765,0.150015,0,0,0,4.14176e-05,1
1.74303e+09,0.793765,0.150015,0,0,0,4.14176e-05,1
1.74303e+09,0.793765,0.150015,0,0,0,4.14176e-05,1
1.74303e+09,0.793765,0.150015,0,0,0,4.14176e-05,1
1.74303e+09,0.793765,0.150015,0,0,0,4.14176e-05,1
1.74303e+09,0.793765,0.150015,0,0,0,4.14176e-05,1
1.74303e+09,0.793765,0.150015,0,0,0,4.14176e-05,1
1.74303e+09,0.793765,0.150015,0,0,0,4.14176e-05,1
1.74303e+09,0.793765,0.150015,0,0,0,4.14176e-05,1
1.74303e+09,0.793765,0.150015,0,0,0,4.14176e-05,1
1.74303e+09,0.793765,0.150015,0,0,0,4.14176e-05,1
1.74303e+09,0.793765,0.150015,0,0,0,4.14176e-05,1
1.74303e+09,0.793765,0.150015,0,0,0,4.14176e-05,1
1.74303e+09,0.793765,0.150015,0,0,0,4.14176e-05,1
1.74303e+09,0.793765,0.150015,0,0,0,4.14176e-05,1
1.74303e+09,0.793765,0.150015,0,0,0,4.14176e-05,1
1.74303e+09,0.793765,0.150015,0,0,0,4.14176e-05,1
1.74303e+09,0.793765,0.150015,0,0,0,4.14176e-05,1
1.74303e+09,0.793765,0.150015,0,0,0,4.14176e-05,1
1.74303e+09,0.793765,0.150015,0,0,0,4.14176e-05,1
1.74303e+09,0.793765,0.150015,0,0,0,4.14176e-05,1
1.74303e+09,0.793765,0.150015,0,0,0,4.14176e-05,1
1.74303e+09,0.793735,0.150015,0,0,0,4.14176e-05,1
1.74303e+09,0.793735,0.150015,0,0,0,4.14176e-05,1
1.74303e+09,0.79375,0.15,0,0,0,0,1
1.74303e+09,0.793765,0.150015,0,0,0,4.14176e-05,1
1.74303e+09,0.793765,0.150015,0,0,0,4.14176e-05,1
1.74303e+09,0.793765,0.150015,0,0,0,4.14176e-05,1
1.74303e+09,0.793765,0.150015,0,0,0,4.14176e-05,1
1.74303e+09,0.793765,0.150015,0,0,0,4.14176e-05,1
1.74303e+09,0.793765,0.150015,0,0,0,4.14176e-05,1
1.74303e+09,0.793765,0.150015,0,0,0,4.14176e-05,1
1.74303e+09,0.793765,0.150015,0,0,0,4.14176e-05,1
1.74303e+09,0.793765,0.150015,0,0,0,4.14176e-05,1
1.74303e+09,0.793765,0.150015,0,0,0,4.14176e-05,1
1.74303e+09,0.793765,0.150015,0,0,0,4.14176e-05,1
1.74303e+09,0.793765,0.150015,0,0,0,4.14176e-05,1
1.74303e+09,0.793765,0.150015,0,0,0,4.14176e-05,1
1.74303e+09,0.793765,0.150015,0,0,0,4.14176e-05,1
1.74303e+09,0.793765,0.150015,0,0,0,4.14176e-05,1
1.74303e+09,0.793765,0.150015,0,0,0,4.14176e-05,1
1.74303e+09,0.793765,0.150015,0,0,0,4.14176e-05,1
1.74303e+09,0.793765,0.150015,0,0,0,4.14176e-05,1
1.74303e+09,0.793765,0.150015,0,0,0,4.14176e-05,1
1.74303e+09,0.793765,0.150015,0,0,0,4.14176e-05,1
1.74303e+09,0.793765,0.150015,0,0,0,4.14176e-05,1
1.74303e+09,0.793765,0.150015,0,0,0,4.14176e-05,1
1.74303e+09,0.793765,0.150015,0,0,0,4.14176e-05,1
1.74303e+09,0.793765,0.150015,0,0,0,4.14176e-05,1
1.74303e+09,0.793765,0.150015,0,0,0,4.14176e-05,1
1.74303e+09,0.793765,0.150015,0,0,0,4.14176e-05,1
1.74303e+09,0.793765,0.150015,0,0,0,4.14176e-05,1
1.74303e+09,0.793765,0.150015,0,0,0,4.14176e-05,1
1.74303e+09,0.793765,0.150015,0,0,0,4.14176e-05,1
1.74303e+09,0.793765,0.150015,0,0,0,4.14176e-05,1
1.74303e+09,0.793765,0.150015,0,0,0,4.14176e-05,1
1.74303e+09,0.793765,0.150015,0,0,0,4.14176e-05,1
1.74303e+09,0.793765,0.150015,0,0,0,4.14176e-05,1
1.74303e+09,0.793765,0.150015,0,0,0,4.14176e-05,1
1.74303e+09,0.793765,0.150015,0,0,0,4.14176e-05,1
1.74303e+09,0.793765,0.150015,0,0,0,4.14176e-05,1
1.74303e+09,0.793765,0.150015,0,0,0,4.14176e-05,1
1.74303e+09,0.793765,0.150015,0,0,0,4.14176e-05,1
1.74303e+09,0.793765,0.150015,0,0,0,4.14176e-05,1
1.74303e+09,0.793765,0.150015,0,0,0,4.14176e-05,1
1.74303e+09,0.793765,0.150015,0,0,0,4.14176e-05,1
1.74303e+09,0.793765,0.150015,0,0,0,4.14176e-05,1
1.74303e+09,0.793765,0.150015,0,0,0,4.14176e-05,1
1.74303e+09,0.793765,0.150015,0,0,0,4.14176e-05,1
1.74303e+09,0.793765,0.150015,0,0,0,4.14176e-05,1
1.74303e+09,0.793765,0.150015,0,0,0,4.14176e-05,1
1.74303e+09,0.793765,0.150015,0,0,0,4.14176e-05,1
1.74303e+09,0.793765,0.150015,0,0,0,4.14176e-05,1
1.74303e+09,0.793765,0.150015,0,0,0,4.14176e-05,1
1.74303e+09,0.793765,0.150015,0,0,0,4.14176e-05,1
1.74303e+09,0.793765,0.150015,0,0,0,4.14176e-05,1
1.74303e+09,0.793765,0.150015,0,0,0,4.14176e-05,1
1.74303e+09,0.793765,0.150015,0,0,0,4.14176e-05,1
1.74303e+09,0.793765,0.150015,0,0,0,4.14176e-05,1
1.74303e+09,0.793765,0.150015,0,0,0,4.14176e-05,1
1.74303e+09,0.793765,0.150015,0,0,0,4.14176e-05,1
1.74303e+09,0.793765,0.150015,0,0,0,4.14176e-05,1
1.74303e+09,0.793765,0.150015,0,0,0,4.14176e-05,1
1.74303e+09,0.793765,0.150015,0,0,0,4.14176e-05,1
1.74303e+09,0.793765,0.150015,0,0,0,4.14176e-05,1
1.74303e+09,0.793765,0.150015,0,0,0,4.14176e-05,1
1.74303e+09,0.793765,0.150015,0,0,0,4.14176e-05,1
1.74303e+09,0.793765,0.150015,0,0,0,4.14176e-05,1
1.74303e+09,0.793765,0.150015,0,0,0,4.14176e-05,1
1.74303e+09,0.793765,0.150015,0,0,0,4.14176e-05,1
1.74303e+09,0.793765,0.150015,0,0,0,4.14176e-05,1
1.74303e+09,0.793765,0.150015,0,0,0,4.14176e-05,1
1.74303e+09,0.793765,0.150015,0,0,0,4.14176e-05,1
1.74303e+09,0.793765,0.150015,0,0,0,4.14176e-05,1
1.74303e+09,0.793765,0.150015,0,0,0,4.14176e-05,1
1.74303e+09,0.793765,0.150015,0,0,0,4.14176e-05,1
1.74303e+09,0.793765,0.150015,0,0,0,4.14176e-05,1
1.74303e+09,0.793765,0.150015,0,0,0,4.14176e-05,1
1.74303e+09,0.793765,0.150015,0,0,0,4.14176e-05,1
1.74303e+09,0.793765,0.150015,0,0,0,4.14176e-05,1
1.74303e+09,0.793765,0.150015,0,0,0,4.14176e-05,1
1.74303e+09,0.793765,0.150015,0,0,0,4.14176e-05,1
1.74303e+09,0.793765,0.150015,0,0,0,4.14176e-05,1
1.74303e+09,0.793765,0.150015,0,0,0,4.14176e-05,1
1.74303e+09,0.793765,0.150015,0,0,0,4.14176e-05,1
1.74303e+09,0.793765,0.150015,0,0,0,4.14176e-05,1
1.74303e+09,0.793765,0.150015,0,0,0,4.14176e-05,1
1.74303e+09,0.793765,0.150015,0,0,0,4.14176e-05,1
1.74303e+09,0.793765,0.150015,0,0,0,4.14176e-05,1
1.74303e+09,0.793765,0.150015,0,0,0,4.14176e-05,1
1.74303e+09,0.793765,0.150015,0,0,0,4.14176e-05,1
1.74303e+09,0.793765,0.150015,0,0,0,4.14176e-05,1
1.74303e+09,0.793765,0.150015,0,0,0,4.14176e-05,1
1.74303e+09,0.793765,0.150015,0,0,0,4.14176e-05,1
1.74303e+09,0.793765,0.150015,0,0,0,4.14176e-05,1
1.74303e+09,0.793765,0.150015,0,0,0,4.14176e-05,1
1.74303e+09,0.793765,0.150015,0,0,0,4.14176e-05,1
1.74303e+09,0.793765,0.150015,0,0,0,4.14176e-05,1
1.74303e+09,0.793765,0.150015,0,0,0,4.14176e-05,1
1.74303e+09,0.793765,0.150015,0,0,0,4.14176e-05,1
1.74303e+09,0.793765,0.150015,0,0,0,4.14176e-05,1
1.74303e+09,0.793765,0.150015,0,0,0,4.14176e-05,1
1.74303e+09,0.793765,0.150015,0,0,0,4.14176e-05,1
1.74303e+09,0.793765,0.150015,0,0,0,4.14176e-05,1
1.74303e+09,0.793765,0.150015,0,0,0,4.14176e-05,1
1.74303e+09,0.793765,0.150015,0,0,0,4.14176e-05,1
1.74303e+09,0.793765,0.150015,0,0,0,4.14176e-05,1
1.74303e+09,0.793765,0.150015,0,0,0,4.14176e-05,1
1.74303e+09,0.793765,0.150015,0,0,0,4.14176e-05,1
1.74303e+09,0.793765,0.150015,0,0,0,4.14176e-05,1
1.74303e+09,0.793765,0.150015,0,0,0,4.14176e-05,1
1.74303e+09,0.793765,0.150015,0,0,0,4.14176e-05,1
1.74303e+09,0.793765,0.150015,0,0,0,4.14176e-05,1
1.74303e+09,0.793765,0.150015,0,0,0,4.14176e-05,1
1.74303e+09,0.793765,0.150015,0,0,0,4.14176e-05,1
1.74303e+09,0.793765,0.150015,0,0,0,4.14176e-05,1
1.74303e+09,0.793765,0.150015,0,0,0,4.14176e-05,1
1.74303e+09,0.793765,0.150015,0,0,0,4.14176e-05,1
1.74303e+09,0.793765,0.150015,0,0,0,4.14176e-05,1
1.74303e+09,0.793765,0.150015,0,0,0,4.14176e-05,1
1.74303e+09,0.793765,0.150015,0,0,0,4.14176e-05,1
1.74303e+09,0.793765,0.150015,0,0,0,4.14176e-05,1
1.74303e+09,0.793765,0.150015,0,0,0,4.14176e-05,1
1.74303e+09,0.793765,0.150015,0,0,0,4.14176e-05,1
1.74303e+09,0.793765,0.150015,0,0,0,4.14176e-05,1
1.74303e+09,0.793765,0.150015,0,0,0,4.14176e-05,1
1.74303e+09,0.793765,0.150015,0,0,0,4.14176e-05,1
1.74303e+09,0.793765,0.150015,0,0,0,4.14176e-05,1
1.74303e+09,0.793765,0.150015,0,0,0,4.14176e-05,1
1.74303e+09,0.793765,0.150015,0,0,0,4.14176e-05,1
1.74303e+09,0.793765,0.150015,0,0,0,4.14176e-05,1
1.74303e+09,0.793765,0.150015,0,0,0,4.14176e-05,1
1.74303e+09,0.793765,0.150015,0,0,0,4.14176e-05,1
1.74303e+09,0.793765,0.150015,0,0,0,4.14176e-05,1
1.74303e+09,0.793765,0.150015,0,0,0,4.14176e-05,1
1.74303e+09,0.793765,0.150015,0,0,0,4.14176e-05,1
1.74303e+09,0.793765,0.150015,0,0,0,4.14176e-05,1
1.74303e+09,0.793765,0.150015,0,0,0,4.14176e-05,1
1.74303e+09,0.793765,0.150015,0,0,0,4.14176e-05,1
1.74303e+09,0.793765,0.150015,0,0,0,4.14176e-05,1
1.74303e+09,0.793765,0.150015,0,0,0,4.14176e-05,1
1.74303e+09,0.793765,0.150015,0,0,0,4.14176e-05,1
1.74303e+09,0.793765,0.150015,0,0,0,4.14176e-05,1
1.74303e+09,0.793765,0.150015,0,0,0,4.14176e-05,1
1.74303e+09,0.793765,0.150015,0,0,0,4.14176e-05,1
1.74303e+09,0.793765,0.150015,0,0,0,4.14176e-05,1
1.74303e+09,0.793765,0.150015,0,0,0,4.14176e-05,1
1.74303e+09,0.793765,0.150015,0,0,0,4.14176e-05,1
1.74303e+09,0.793765,0.150015,0,0,0,4.14176e-05,1
1.74303e+09,0.793765,0.150015,0,0,0,4.14176e-05,1
1.74303e+09,0.793765,0.150015,0,0,0,4.14176e-05,1
1.74303e+09,0.793765,0.150015,0,0,0,4.14176e-05,1
1.74303e+09,0.793765,0.150015,0,0,0,4.14176e-05,1
1.74303e+09,0.793765,0.150015,0,0,0,4.14176e-05,1
1.74303e+09,0.793765,0.150015,0,0,0,4.14176e-05,1
1.74303e+09,0.793765,0.150015,0,0,0,4.14176e-05,1
1.74303e+09,0.793765,0.150015,0,0,0,4.14176e-05,1
1.74303e+09,0.793765,0.150015,0,0,0,4.14176e-05,1
1.74303e+09,0.793765,0.150015,0,0,0,4.14176e-05,1
1.74303e+09,0.793765,0.150015,0,0,0,4.14176e-05,1
1.74303e+09,0.793765,0.150015,0,0,0,4.14176e-05,1
1.74303e+09,0.793765,0.150015,0,0,0,4.14176e-05,1
1.74303e+09,0.793765,0.150015,0,0,0,4.14176e-05,1
1.74303e+09,0.793765,0.150015,0,0,0,4.14176e-05,1
1.74303e+09,0.793765,0.150015,0,0,0,4.14176e-05,1
1.74303e+09,0.793765,0.150015,0,0,0,4.14176e-05,1
1.74303e+09,0.793765,0.150015,0,0,0,4.14176e-05,1
1.74303e+09,0.793765,0.150015,0,0,0,4.14176e-05,1
1.74303e+09,0.793765,0.150015,0,0,0,4.14176e-05,1
1.74303e+09,0.793765,0.150015,0,0,0,4.14176e-05,1
1.74303e+09,0.793765,0.150015,0,0,0,4.14176e-05,1
1.74303e+09,0.793765,0.150015,0,0,0,4.14176e-05,1
1.74303e+09,0.793765,0.150015,0,0,0,4.14176e-05,1
1.74303e+09,0.793765,0.150015,0,0,0,4.14176e-05,1
1.74303e+09,0.793765,0.150015,0,0,0,4.14176e-05,1
1.74303e+09,0.793765,0.150015,0,0,0,4.14176e-05,1
1.74303e+09,0.793765,0.150015,0,0,0,4.14176e-05,1
1.74303e+09,0.793765,0.150015,0,0,0,4.14176e-05,1
1.74303e+09,0.793765,0.150015,0,0,0,4.14176e-05,1
1.74303e+09,0.793765,0.150015,0,0,0,4.14176e-05,1
1.74303e+09,0.793765,0.150015,0,0,0,4.14176e-05,1
1.74303e+09,0.793765,0.150015,0,0,0,4.14176e-05,1
1.74303e+09,0.793765,0.150015,0,0,0,4.14176e-05,1
1.74303e+09,0.793765,0.150015,0,0,0,4.14176e-05,1
1.74303e+09,0.793765,0.150015,0,0,0,4.14176e-05,1
1.74303e+09,0.793765,0.150015,0,0,0,4.14176e-05,1
1.74303e+09,0.793765,0.150015,0,0,0,4.14176e-05,1
1.74303e+09,0.793765,0.150015,0,0,0,4.14176e-05,1
1.74303e+09,0.793765,0.150015,0,0,0,4.14176e-05,1
1.74303e+09,0.793765,0.150015,0,0,0,4.14176e-05,1
1.74303e+09,0.793765,0.150015,0,0,0,4.14176e-05,1
1.74303e+09,0.793765,0.150015,0,0,0,4.14176e-05,1
1.74303e+09,0.793765,0.150015,0,0,0,4.14176e-05,1
1.74303e+09,0.793765,0.150015,0,0,0,4.14176e-05,1
1.74303e+09,0.793765,0.150015,0,0,0,4.14176e-05,1
1.74303e+09,0.793765,0.150015,0,0,0,4.14176e-05,1
1.74303e+09,0.793765,0.150015,0,0,0,4.14176e-05,1
1.74303e+09,0.793765,0.150015,0,0,0,4.14176e-05,1
1.74303e+09,0.793765,0.150015,0,0,0,4.14176e-05,1
1.74303e+09,0.793765,0.150015,0,0,0,4.14176e-05,1
1.74303e+09,0.793765,0.150015,0,0,0,4.14176e-05,1
1.74303e+09,0.793765,0.150015,0,0,0,4.14176e-05,1
1.74303e+09,0.793765,0.150015,0,0,0,4.14176e-05,1
1.74303e+09,0.793765,0.150015,0,0,0,4.14176e-05,1
1.74303e+09,0.793765,0.150015,0,0,0,4.14176e-05,1
1.74303e+09,0.793765,0.150015,0,0,0,4.14176e-05,1
1.74303e+09,0.793765,0.150015,0,0,0,4.14176e-05,1
1.74303e+09,0.793765,0.150015,0,0,0,4.14176e-05,1
1.74303e+09,0.793765,0.150015,0,0,0,4.14176e-05,1
1.74303e+09,0.793765,0.150015,0,0,0,4.14176e-05,1
1.74303e+09,0.793765,0.150015,0,0,0,4.14176e-05,1
1.74303e+09,0.793765,0.150015,0,0,0,4.14176e-05,1
1.74303e+09,0.793765,0.150015,0,0,0,4.14176e-05,1
1.74303e+09,0.793765,0.150015,0,0,0,4.14176e-05,1
1.74303e+09,0.793765,0.150015,0,0,0,4.14176e-05,1
1.74303e+09,0.793765,0.150015,0,0,0,4.14176e-05,1
1.74303e+09,0.793765,0.150015,0,0,0,4.14176e-05,1
1.74303e+09,0.793765,0.150015,0,0,0,4.14176e-05,1
1.74303e+09,0.793765,0.150015,0,0,0,4.14176e-05,1
1.74303e+09,0.793765,0.150015,0,0,0,4.14176e-05,1
1.74303e+09,0.793765,0.150015,0,0,0,4.14176e-05,1
1.74303e+09,0.793765,0.150015,0,0,0,4.14176e-05,1
1.74303e+09,0.793765,0.150015,0,0,0,4.14176e-05,1
1.74303e+09,0.793765,0.150015,0,0,0,4.14176e-05,1
1.74303e+09,0.793765,0.150015,0,0,0,4.14176e-05,1
1.74303e+09,0.793765,0.150015,0,0,0,4.14176e-05,1
1.74303e+09,0.793765,0.150015,0,0,0,4.14176e-05,1
1.74303e+09,0.793765,0.150015,0,0,0,4.14176e-05,1
1.74303e+09,0.793765,0.150015,0,0,0,4.14176e-05,1
1.74303e+09,0.793765,0.150015,0,0,0,4.14176e-05,1
1.74303e+09,0.793765,0.150015,0,0,0,4.14176e-05,1
1.74303e+09,0.793765,0.150015,0,0,0,4.14176e-05,1
1.74303e+09,0.793765,0.150015,0,0,0,4.14176e-05,1
1.74303e+09,0.793765,0.150015,0,0,0,4.14176e-05,1
1.74303e+09,0.793765,0.150015,0,0,0,4.14176e-05,1
1.74303e+09,0.793765,0.150015,0,0,0,4.14176e-05,1
1.74303e+09,0.793765,0.150015,0,0,0,4.14176e-05,1
1.74303e+09,0.793765,0.150015,0,0,0,4.14176e-05,1
1.74303e+09,0.793765,0.150015,0,0,0,4.14176e-05,1
1.74303e+09,0.793765,0.150015,0,0,0,4.14176e-05,1
1.74303e+09,0.793765,0.150015,0,0,0,4.14176e-05,1
1.74303e+09,0.793765,0.150015,0,0,0,4.14176e-05,1
1.74303e+09,0.793765,0.150015,0,0,0,4.14176e-05,1
1.74303e+09,0.793765,0.150015,0,0,0,4.14176e-05,1
1.74303e+09,0.793765,0.150015,0,0,0,4.14176e-05,1
1.74303e+09,0.793765,0.150015,0,0,0,4.14176e-05,1
1.74303e+09,0.793765,0.150015,0,0,0,4.14176e-05,1
1.74303e+09,0.793765,0.150015,0,0,0,4.14176e-05,1
1.74303e+09,0.793765,0.150015,0,0,0,4.14176e-05,1
1.74303e+09,0.793765,0.150015,0,0,0,4.14176e-05,1
1.74303e+09,0.793765,0.150015,0,0,0,4.14176e-05,1
1.74303e+09,0.793765,0.150015,0,0,0,4.14176e-05,1
1.74303e+09,0.793765,0.150015,0,0,0,4.14176e-05,1
1.74303e+09,0.793765,0.150015,0,0,0,4.14176e-05,1
1.74303e+09,0.793765,0.150015,0,0,0,4.14176e-05,1
1.74303e+09,0.793765,0.150015,0,0,0,4.14176e-05,1
1.74303e+09,0.793765,0.150015,0,0,0,4.14176e-05,1
1.74303e+09,0.793765,0.150015,0,0,0,4.14176e-05,1
1.74303e+09,0.793765,0.150015,0,0,0,4.14176e-05,1
1.74303e+09,0.793765,0.150015,0,0,0,4.14176e-05,1
1.74303e+09,0.793765,0.150015,0,0,0,4.14176e-05,1
1.74303e+09,0.793765,0.150015,0,0,0,4.14176e-05,1
1.74303e+09,0.793765,0.150015,0,0,0,4.14176e-05,1
1.74303e+09,0.793765,0.150015,0,0,0,4.14176e-05,1
1.74303e+09,0.793765,0.150015,0,0,0,4.14176e-05,1
1.74303e+09,0.793765,0.150015,0,0,0,4.14176e-05,1
1.74303e+09,0.793765,0.150015,0,0,0,4.14176e-05,1
1.74303e+09,0.793765,0.150015,0,0,0,4.14176e-05,1
1.74303e+09,0.793765,0.150015,0,0,0,4.14176e-05,1
1.74303e+09,0.793765,0.150015,0,0,0,4.14176e-05,1
1.74303e+09,0.793765,0.150015,0,0,0,4.14176e-05,1
